=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.21 15:17:41 =~=~=~=~=~=~=~=~=~=~=~=
 273 Time: 105362
Distance: 251.03 Time: 10279
Distance: 256.21 Time: 10310
Distance: 256.21 Time: 10341
Distance: 263.97 Time: 10373
Distance: 256.21 Time: 10403
Distance: 255.17 Time: 10435
Distance: 252.07 Time: 10466
Distance: 255.17 Time: 10498
Distance: 256.38 Time: 10528
Distance: 255.69 Time: 10560
Distance: 256.55 Time: 10591
Distance: 255.69 Time: 10622
Distance: 261.03 Time: 10653
Distance: 255.69 Time: 10685
Distance: 256.72 Time: 10716
Distance: 255.69 Time: 10747
Distance: 261.21 Time: 10778
Distance: 256.21 Time: 10810
Distance: 257.24 Time: 10841
Distance: 261.38 Time: 10871
Distance: 260.34 Time: 10903
Distance: 270.00 Time: 10934
Distance: 269.14 Time: 10966
Distance: 261.72 Time: 10996
Distance: 265.00 Time: 11028
Distance: 266.03 Time: 11059
Distance: 265.00 Time: 11090
Distance: 278.97 Time: 11121
Distance: 265.00 Time: 11153
Distance: 261.90 Time: 11184
Distance: 260.86 Time: 11215
Distance: 270.69 Time: 11246
Distance: 260.86 Time: 11278
Distance: 262.07 Time: 11309
Distance: 260.86 Time: 11340
Distance: 260.86 Time: 11371
Distance: 261.90 Time: 11402
Distance: 256.72 Time: 11433
Distance: 261.90 Time: 11464
Distance: 256.55 Time: 11496
Distance: 257.24 Time: 11527
Distance: 252.07 Time: 11558
Distance: 253.10 Time: 11589
Distance: 252.07 Time: 11621
Distance: 252.93 Time: 11652
Distance: 260.34 Time: 11683
Distance: 252.59 Time: 11714
Distance: 255.69 Time: 11746
Distance: 256.72 Time: 11777
Distance: 255.69 Time: 11808
Distance: 252.41 Time: 11839
Distance: 252.59 Time: 11870
Distance: 251.55 Time: 11901
Distance: 252.41 Time: 11932
Distance: 246.72 Time: 11964
Distance: 260.69 Time: 11995
Distance: 255.17 Time: 12026
Distance: 252.07 Time: 12057
Distance: 259.66 Time: 12089
Distance: 260.86 Time: 12120
Distance: 255.17 Time: 12151
Distance: 252.07 Time: 12182
Distance: 259.83 Time: 12214
Distance: 260.69 Time: 12244
Distance: 259.66 Time: 12276
Distance: 260.86 Time: 12307
Distance: 256.72 Time: 12338
Distance: 255.52 Time: 12369
Distance: 256.72 Time: 12400
Distance: 255.52 Time: 12432
Distance: 256.72 Time: 12463
Distance: 255.69 Time: 12494
Distance: 257.07 Time: 12525
Distance: 264.48 Time: 12557
Distance: 257.24 Time: 12588
Distance: 256.03 Time: 12619
Distance: 261.21 Time: 12650
Distance: 268.97 Time: 12682
Distance: 265.86 Time: 12712
Distance: 269.14 Time: 12744
Distance: 266.03 Time: 12775
Distance: 265.00 Time: 12807
Distance: 266.21 Time: 12837
Distance: 265.17 Time: 12869
Distance: 277.76 Time: 12900
Distance: 270.52 Time: 12931
Distance: 265.17 Time: 12962
Distance: 262.07 Time: 12993
Distance: 260.86 Time: 13025
Distance: 261.72 Time: 13056
Distance: 260.86 Time: 13087
Distance: 261.90 Time: 13118
Distance: 260.86 Time: 13150
Distance: 261.90 Time: 13180
Distance: 256.55 Time: 13212
Distance: 261.90 Time: 13243
Distance: 265.00 Time: 13275
Distance: 253.10 Time: 13305
Distance: 253.10 Time: 13336
Distance: 252.24 Time: 13368
Distance: 253.10 Time: 13399
Distance: 260.34 Time: 13430
Distance: 256.72 Time: 13461
Distance: 251.55 Time: 13493
Distance: 256.90 Time: 13523
Distance: 255.69 Time: 13555
Distance: 256.72 Time: 13586
Distance: 251.55 Time: 13618
Distance: 252.59 Time: 13648
Distance: 251.38 Time: 13680
Distance: 256.55 Time: 13711
Distance: 246.90 Time: 13743
Distance: 252.07 Time: 13773
Distance: 259.66 Time: 13805
Distance: 252.07 Time: 13836
Distance: 256.21 Time: 13867
Distance: 263.97 Time: 13898
Distance: 264.83 Time: 13929
Distance: 255.17 Time: 13961
Distance: 256.21 Time: 13991
Distance: 251.03 Time: 14023
Distance: 260.86 Time: 14054
Distance: 259.83 Time: 14086
Distance: 261.03 Time: 14116
Distance: 259.66 Time: 14148
Distance: 261.03 Time: 14179
Distance: 255.69 Time: 14211
Distance: 256.72 Time: 14241
Distance: 255.86 Time: 14273
Distance: 256.90 Time: 14304
Distance: 256.90 Time: 14334
Distance: 256.21 Time: 14366
Distance: 257.07 Time: 14397
Distance: 260.34 Time: 14429
Distance: 270.00 Time: 14459
Distance: 269.14 Time: 14491
Distance: 265.86 Time: 14522
Distance: 260.69 Time: 14554
Distance: 266.03 Time: 14584
Distance: 264.83 Time: 14616
Distance: 278.97 Time: 14647
Distance: 277.76 Time: 14679
Distance: 266.03 Time: 14709
Distance: 260.86 Time: 14741
Distance: 261.90 Time: 14772
Distance: 273.79 Time: 14803
Distance: 261.90 Time: 14834
Distance: 261.90 Time: 14865
Distance: 260.69 Time: 14897
Distance: 261.90 Time: 14927
Distance: 260.86 Time: 14959
Distance: 257.76 Time: 14990
Distance: 260.69 Time: 15022
Distance: 257.24 Time: 15052
Distance: 252.07 Time: 15084
Distance: 257.07 Time: 15115
Distance: 252.07 Time: 15147
Distance: 257.24 Time: 15177
Distance: 256.21 Time: 15209
Distance: 261.38 Time: 15240
Distance: 251.55 Time: 15271
Distance: 256.72 Time: 15302
Distance: 256.72 Time: 15333
Distance: 251.55 Time: 15365
Distance: 252.59 Time: 15395
Distance: 255.69 Time: 15427
Distance: 252.59 Time: 15458
Distance: 255.69 Time: 15490
Distance: 247.93 Time: 15520
Distance: 251.03 Time: 15552
Distance: 256.21 Time: 15583
Distance: 251.21 Time: 15614
Distance: 256.21 Time: 15645
Distance: 259.83 Time: 15677
Distance: 265.00 Time: 15708
Distance: 255.17 Time: 15739
Distance: 264.83 Time: 15770
Distance: 259.66 Time: 15802
Distance: 260.86 Time: 15833
Distance: 260.86 Time: 15863
Distance: 255.69 Time: 15895
Distance: 256.72 Time: 15926
Distance: 255.69 Time: 15958
Distance: 256.72 Time: 15988
Distance: 255.69 Time: 16020
Distance: 256.72 Time: 16051
Distance: 260.17 Time: 16082
Distance: 265.52 Time: 16113
Distance: 256.21 Time: 16145
Distance: 257.24 Time: 16176
Distance: 260.34 Time: 16207
Distance: 261.38 Time: 16238
Distance: 264.83 Time: 16270
Distance: 270.17 Time: 16301
Distance: 269.14 Time: 16332
Distance: 265.00 Time: 16363
Distance: 265.86 Time: 16394
Distance: 260.86 Time: 16425
Distance: 266.03 Time: 16456
Distance: 265.00 Time: 16488
Distance: 274.66 Time: 16519
Distance: 260.86 Time: 16550
